Station,Location,State,Temperature,DO,pH,Conductivity,BOD,Nitrate,Fecal_Coliform,Total_Coliform,Year,BOD_DO_Ratio,Temp_DO_Interaction,Pollution_Index,Risk_Score,Risk_Level
4019,GALGIBAG BEACH,GOA,21.0,5.7,7.0,232.0,1.0,0.4,11.0,23.0,2020,0.17513134851138354,119.7,0.8949999999999999,3.04,Safe
4020,COLVA BEACH,GOA,21.0,5.7,7.0,232.0,1.0,0.4,11.0,33.0,2020,0.17513134851138354,119.7,0.9099999999999999,3.11,Safe
4021,VAGATOR BEACH,GOA,21.0,5.7,6.7,232.0,1.0,0.4,11.0,23.0,2020,0.17513134851138354,119.7,0.8949999999999999,3.04,Safe
4022,VELSAO BEACH,GOA,21.0,5.7,7.5,232.0,1.0,0.4,11.0,17.0,2020,0.17513134851138354,119.7,0.8859999999999999,2.99,Safe
2080,MASMA KHADI- OLPAD- SARAS ROAD,GUJARAT,21.0,5.7,7.2,232.0,1.0,0.4,11.0,2.0,2020,0.17513134851138354,119.7,0.8634999999999999,2.87,Safe
2081,AMLAKHADI CREEK AT PUNGAM.,GUJARAT,21.0,5.7,7.3,232.0,1.0,0.4,11.0,170.0,2020,0.17513134851138354,119.7,1.1155,4.13,Safe
3196,"VANDKHADI AT VILLAGE UMARWADA, TA
ANKLESHWAR, BHARUCH",GUJARAT,21.0,5.7,7.3,232.0,1.0,0.4,11.0,140.0,2020,0.17513134851138354,119.7,1.0705,3.92,Safe
2439,PURI,ODISHA,21.0,5.7,6.8,232.0,1.0,0.4,11.0,78.0,2020,0.17513134851138354,119.7,0.9774999999999999,3.46,Safe
2440,PARADEEP,ODISHA,21.0,5.7,6.8,232.0,1.0,0.4,11.0,18.0,2020,0.17513134851138354,119.7,0.8875,3.0,Safe
2441,GOPALPUR,ODISHA,21.0,5.7,7.8,232.0,1.0,0.4,11.0,20.0,2020,0.17513134851138354,119.7,0.8905,3.01,Safe
3961,ATHARABANKI CREEK,ODISHA,21.0,5.7,6.6,232.0,1.0,0.4,11.0,220.0,2020,0.17513134851138354,119.7,1.1905,4.48,Safe
4392.0,"BOREWELL           NEAR           SRI GOVINDARAJA                SWAMY
TEMPLE, TIRUPATI TOWN",ANDHRA PRADESH,21.0,5.7,6.1,232.0,1.0,0.4,11.0,90.0,2020,0.17513134851138354,119.7,0.9954999999999999,3.55,Safe
4393.0,"CLOSED       MSW       DUMPSITE, UKKAYAPALLI (V), KADAPA (M)",ANDHRA PRADESH,21.0,5.7,6.5,232.0,1.0,0.4,11.0,90.0,2020,0.17513134851138354,119.7,0.9954999999999999,3.55,Safe
4394.0,"BOREWELL   AT   APLLC   OFFICE INDUSTRIAL   ESTATE   GROWTH CENTRE,              THUMAKUNTA,
HINDUPUR (M)",ANDHRA PRADESH,21.0,5.7,6.4,232.0,1.2,0.4,11.0,90.0,2020,0.21015761821366025,119.7,1.0554999999999999,3.84,Safe
4395.0,"BOREWELL   AT   APLLC   OFFICE INDUSTRIAL                     ESTATE,
ANANTAPURAM (M)",ANDHRA PRADESH,21.0,5.7,6.6,232.0,1.0,0.4,11.0,90.0,2020,0.17513134851138354,119.7,0.9954999999999999,3.55,Safe
,,,21.0,5.7,7.2,232.0,1.0,0.4,11.0,90.0,2021,0.17513134851138354,119.7,0.9954999999999999,3.55,Safe
